PadID,Diversion,padDA,flume
WOR12T,NA,2.734374998,NC
WOR13C,NA,2.734375002,C
WOR13T,NA,24.13537598,NC
WOR14C,NA,124.3590088,C
WOR14Cv,Yes,0,C
WOR14T,NA,21.46875,NC
WOR15C,NA,8.202514648,C
WOR15T,NA,8.135040276,NC
WOR16C,NA,2.734375001,C
WOR16Cv,Yes,0,C
WOR16T,NA,2.734375,NC
WOR17C,NA,38.734375,C
WOR17Cv,Yes,0,C
WOR17T,NA,22.76562502,C
WOR18C,NA,45.234375,C
WOR18T,NA,14.74218751,C
WOR19C,NA,77.89443973,C
WOR19Cv,Yes,0,C
WOR19T,NA,29.46874999,NC
WOR20C,NA,18.56851197,C
WOR20T,NA,5.468749997,C
WOR21C,NA,37.46875,C
WOR21T,NA,57.46875,NC
WOR21Tv,Yes,0,NC
WOR22C,NA,37.61096191,C
WOR22T,NA,73.46874999,NC
WOR23C,NA,34.50979614,C
WOR23Cv,Yes,0,C
WOR23T,NA,77.46875003,NC
WOR24C,NA,2.734374998,C
WOR24T,NA,17.46875,NC
WOR24Tv,Yes,0,NC
WOR25C,NA,49.46875,C
WOR25Cv,Yes,0,C
WOR25T,NA,19.9154358,C
WOR25Tv,Yes,0,C
WOR26C,NA,48.20251465,C
WOR26T,NA,59.42080689,C
WOR26Tv,Yes,0,C
WOR27C,NA,41.46875001,NC
WOR27Cv,Yes,0,NC
WOR27T,NA,103.4478149,C
WOR27Tv,Yes,0,C
WOR28C,NA,13.46875,NC
WOR28Cv,Yes,0,NC
WOR28T,NA,101.8929444,C
WOR29C,NA,11.13418579,NC
WOR29Cv,Yes,0,NC
WOR29T,NA,45.46874999,C
WOR29Tv,Yes,0,C
WOR30C,NA,29.46875,NC
WOR30Cv,Yes,0,NC
WOR30T,NA,37.46874999,C
WOR31T,No,5.468750001,C
WOR31Tv,Yes,0,C
WOR32T,No,14.74282837,C
WOR33T,No,13.46875,C
WOR34T,No,57.92492675,C
WOR34Tv,Yes,0,C
WOR35T,No,171.4403992,C
WOR35Tv,Yes,0,C
WOR36T,No,29.46875,C
WOR36Tv,Yes,0,C
WOR37T,No,35.67382814,C
WOR37Tv,Yes,0,C
WOR38T,No,113.3965455,C
WOR39T,No,2.734375002,C
WOR39Tv,Yes,0,C
WOR40T,No,26.73437501,C
WOR41T,No,39.99999996,C
WOR42T,No,31.99999997,C
WOR42Tv,Yes,0,C
WOR43T,No,39.99999996,C
WOR43Tv,Yes,0,C
WOR44T,No,1045.393799,C
WOR45T,No,64.16818237,C
WOR45Tv,Yes,0,C
WOR46T,No,758.8671568,C
WOR46Tv,Yes,0,C
WOR47T,No,94.734375,C
WOR47Tv,Yes,0,C
WOR48T,No,13.46875,C
WOR49T,No,49.47387696,C
WOR49Tv,Yes,0,C
WOR50T,No,72.30187987,C
