Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.3,7.06
Strips,top,2,4.63,11.73
Strips,top,3,4.63,6.15
Strips,top,4,4.77,9.07
Strips,top,5,4.36,15.33
Strips,top,6,4.36,7.65
Strips,top,7,4.78,6.71
Strips,top,8,4.49,6.18
Strips,top,9,4.53,5.83
Strips,top,10,4.25,13.3
Strips,middle,11,4.37,8.5
Strips,middle,12,4.57,7.13
Strips,middle,13,4.6,46.18
Strips,middle,14,5.01,6
Strips,middle,15,4.4,5.33
Strips,middle,16,4.93,31.24
Strips,middle,17,4.59,19.92
Strips,middle,18,4.47,10.98
Strips,middle,19,5.18,6.31
Strips,middle,20,4.64,18.25
Strips,bottom,21,4.33,5.07
Strips,bottom,22,4.64,5.38
Strips,bottom,23,4.44,5.02
Strips,bottom,24,4.45,6.62
Strips,bottom,25,5.12,13.4
Strips,bottom,26,4.41,6.97
Strips,bottom,27,4.94,6.52
Strips,bottom,28,4.34,5.3
Strips,bottom,29,4.73,5.83
Strips,bottom,30,4.19,5.65
Control,top,1,4.88,5.13
Control,top,2,4.56,9.43
Control,top,3,4.82,7.46
Control,top,4,4.66,6.69
Control,top,5,5.07,7.91
Control,top,6,4.54,11.09
Control,top,7,4.17,6.75
Control,top,8,5.2,6.95
Control,top,9,4.46,5.07
Control,top,10,5.18,5.96
Control,middle,11,4.31,8.83
Control,middle,12,4.61,5.44
Control,middle,13,4.24,13.71
Control,middle,14,4.58,6.38
Control,middle,15,4.89,7.03
Control,middle,16,4.5,28.54
Control,middle,17,4.28,10.2
Control,middle,18,4.43,6.41
Control,middle,19,5.13,26.38
Control,middle,20,4.32,16.55
Control,bottom,21,4.4,12.51
Control,bottom,22,4.48,5.3
Control,bottom,23,5.07,6.61
Control,bottom,24,4.34,6.04
Control,bottom,25,4.65,5.32
Control,bottom,26,4.39,5.92
Control,bottom,27,5.06,6.86
Control,bottom,28,4.69,7.3
Control,bottom,29,4.7,7.3
Control,bottom,30,4.49,9.37
