Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.29,85.76
Strips,top,2,4.94,29.87
Strips,top,3,4.57,8.81
Strips,top,4,4.58,52
Strips,top,5,4.61,5.7
Strips,top,6,4.57,11.63
Strips,top,7,4.31,6.62
Strips,top,8,4.57,11.55
Strips,top,9,4.59,5.66
Strips,top,10,4.58,13.17
Strips,middle,11,4.41,40.04
Strips,middle,12,4.55,6.63
Strips,middle,13,4.56,9.75
Strips,middle,14,4.56,22.31
Strips,middle,15,4.58,35.41
Strips,middle,16,4.58,6.29
Strips,middle,17,4.56,13.36
Strips,middle,18,4.56,34.9
Strips,middle,19,4.56,19.03
Strips,middle,20,4.58,16.77
Strips,bottom,21,4.57,77.71
Strips,bottom,22,4.59,5.7
Strips,bottom,23,4.6,6.39
Strips,bottom,24,4.58,23.38
Strips,bottom,25,4.57,5.78
Strips,bottom,26,4.56,60.18
Strips,bottom,27,4.58,11.56
Strips,bottom,28,4.59,21.52
Strips,bottom,29,4.58,10.38
Strips,bottom,30,4.58,18.44
Control,top,1,4.42,51.67
Control,top,2,4.41,64.26
Control,top,3,4.42,8.42
Control,top,4,4.41,29.14
Control,top,5,4.41,11.18
Control,top,6,4.42,13.99
Control,top,7,4.43,8.97
Control,top,8,4.42,50.08
Control,top,9,4.45,50.28
Control,top,10,4.41,8.93
Control,middle,11,4.41,41.15
Control,middle,12,4.42,10.46
Control,middle,13,4.42,88.91
Control,middle,14,8.24,295.69
Control,middle,15,4.43,40.44
Control,middle,16,4.41,13.19
Control,middle,17,4.42,12.76
Control,middle,18,4.42,11.67
Control,middle,19,4.42,23.33
Control,middle,20,4.43,16.44
Control,bottom,21,4.41,55.76
Control,bottom,22,4.43,31.81
Control,bottom,23,4.41,30.76
Control,bottom,24,4.42,71.96
Control,bottom,25,4.42,85.04
Control,bottom,26,4.42,51.23
Control,bottom,27,4.42,23.58
Control,bottom,28,4.43,98.44
Control,bottom,29,4.41,63.63
Control,bottom,30,4.41,170.26
