Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.46,8.72
Strips,top,2,8.32,11.47
Strips,top,3,8.3,11.69
Strips,top,4,8.27,8.57
Strips,top,5,8.26,11.44
Strips,top,6,8.31,9.14
Strips,top,7,8.67,24.69
Strips,top,8,8.43,16.58
Strips,top,9,8.18,10.75
Strips,top,10,8.45,11.4
Strips,middle,11,8.29,10.15
Strips,middle,12,8.27,9.4
Strips,middle,13,8.31,12.73
Strips,middle,14,8.3,13.15
Strips,middle,15,8.37,17.64
Strips,middle,16,8.25,9.52
Strips,middle,17,8.25,11.13
Strips,middle,18,8.29,12.12
Strips,middle,19,8.32,9.41
Strips,middle,20,8.44,20.03
Strips,bottom,21,8.21,8.58
Strips,bottom,22,8.31,9.42
Strips,bottom,23,8.2,8.33
Strips,bottom,24,8.41,9.78
Strips,bottom,25,8.36,9.22
Strips,bottom,26,8.23,13.3
Strips,bottom,27,8.36,13.42
Strips,bottom,28,8.21,14.85
Strips,bottom,29,8.25,11.24
Strips,bottom,30,8.2,8.96
Control,top,1,8.26,9.25
Control,top,2,8.21,9.16
Control,top,3,8.28,9.22
Control,top,4,8.16,9.73
Control,top,5,8.07,8.92
Control,top,6,8.44,9.72
Control,top,7,8.15,10.01
Control,top,8,8.63,10.11
Control,top,9,8.4,9.39
Control,top,10,8.39,10.33
Control,middle,11,8.43,10.56
Control,middle,12,8.48,9.79
Control,middle,13,8.22,14.68
Control,middle,14,8.27,10.59
Control,middle,15,8.47,9.1
Control,middle,16,8.31,11.65
Control,middle,17,8.33,9.27
Control,middle,18,8.22,12.9
Control,middle,19,8.27,63.27
Control,middle,20,8.33,13.03
Control,bottom,21,8.32,14.41
Control,bottom,22,8.27,10.29
Control,bottom,23,8.31,19.56
Control,bottom,24,8.43,16.54
Control,bottom,25,8.31,12.25
Control,bottom,26,8.2,9.61
Control,bottom,27,8.32,13.45
Control,bottom,28,8.21,24.76
Control,bottom,29,8.24,9.71
Control,bottom,30,8.28,9.6
