Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.26,9.29
Strips,top,2,8.31,10.56
Strips,top,3,8.27,9.35
Strips,top,4,8.54,9.1
Strips,top,5,8.47,9.08
Strips,top,6,8.25,9.1
Strips,top,7,8.27,10.39
Strips,top,8,8.27,9.45
Strips,top,9,8.5,9.63
Strips,top,10,8.44,10.38
Strips,middle,11,8.24,11
Strips,middle,12,8.3,10.41
Strips,middle,13,8.22,9.76
Strips,middle,14,8.41,11.26
Strips,middle,15,8.5,11.92
Strips,middle,16,8.33,12.15
Strips,middle,17,8.33,10.88
Strips,middle,18,8.33,9.96
Strips,middle,19,8.32,10.14
Strips,middle,20,8.35,13.32
Strips,bottom,21,8.26,8.66
Strips,bottom,22,8.48,9.82
Strips,bottom,23,8.36,8.59
Strips,bottom,24,8.41,9.31
Strips,bottom,25,8.45,8.68
Strips,bottom,26,8.21,10.48
Strips,bottom,27,8.31,8.49
Strips,bottom,28,8.25,10.7
Strips,bottom,29,8.19,9.46
Strips,bottom,30,8.43,8.62
Control,top,1,8.31,9.34
Control,top,2,8.23,8.91
Control,top,3,8.3,10.58
Control,top,4,8.28,10.55
Control,top,5,8.51,14.15
Control,top,6,8.46,10.03
Control,top,7,8.47,9.44
Control,top,8,8.31,9.91
Control,top,9,8.27,8.95
Control,top,10,8.28,11.39
Control,middle,11,8.23,12.9
Control,middle,12,8.33,11.58
Control,middle,13,8.24,9.39
Control,middle,14,8.3,10.88
Control,middle,15,8.28,9.81
Control,middle,16,8.2,12.19
Control,middle,17,8.34,9.35
Control,middle,18,8.2,9.07
Control,middle,19,8.55,10.93
Control,middle,20,8.4,10.84
Control,bottom,21,8.3,8.61
Control,bottom,22,8.23,9.84
Control,bottom,23,8.24,8.6
Control,bottom,24,8.22,9.74
Control,bottom,25,8.27,9.47
Control,bottom,26,8.25,10.02
Control,bottom,27,8.25,9.23
Control,bottom,28,8.36,9.71
Control,bottom,29,8.19,9.01
Control,bottom,30,8.42,10.18
