Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.4272,107.3
Strips,top,2,8.4323,13.838
Strips,top,3,8.5663,13.0143
Strips,top,4,8.4715,15.7501
Strips,top,5,8.5886,270.6
Strips,top,6,8.1544,25.1415
Strips,top,7,8.1222,63.1
Strips,top,8,8.4246,42.0155
Strips,top,9,8.4799,12.3044
Strips,top,10,8.4011,30.1634
Strips,middle,11,8.4066,128.2
Strips,middle,12,8.2459,13.4547
Strips,middle,13,8.4565,40.2354
Strips,middle,14,8.2594,24.1915
Strips,middle,15,8.2665,78.6
Strips,middle,16,8.1825,159.3
Strips,middle,17,8.2856,11.6898
Strips,middle,18,8.4033,56.1
Strips,middle,19,8.3506,45.5665
Strips,middle,20,8.4965,56
Strips,bottom,21,17.1,598.2
Strips,bottom,22,8.5008,299.6
Strips,bottom,23,8.4581,12.0843
Strips,bottom,24,8.6659,10.5617
Strips,bottom,25,8.4986,30.0702
Strips,bottom,26,8.4731,235.8
Strips,bottom,27,8.2761,88.5
Strips,bottom,28,8.4094,34.2534
Strips,bottom,29,8.2558,19.6105
Strips,bottom,30,8.3068,16.0103
Control,top,1,8.212,65.4
Control,top,2,8.5374,51.1
Control,top,3,8.2041,60
Control,top,4,8.1908,55.6
Control,top,5,8.2734,98
Control,top,6,17.1,514.3
Control,top,7,8.5443,212.3
Control,top,8,8.495,21.9668
Control,top,9,8.4699,128.4
Control,top,10,8.5329,23.2562
Control,middle,11,8.4327,22.2665
Control,middle,12,8.2243,80.3
Control,middle,13,8.3647,187.2
Control,middle,14,8.6236,109.5
Control,middle,15,8.4889,35.7802
Control,middle,16,8.4434,50.6
Control,middle,17,8.4067,26.9679
Control,middle,18,8.2873,63
Control,middle,19,8.4658,81
Control,middle,20,8.2786,28.133
Control,bottom,21,8.6759,277.2
Control,bottom,22,17.1,836.2
Control,bottom,23,8.3598,45.1492
Control,bottom,24,8.5213,106.4
Control,bottom,25,8.418,104.6
Control,bottom,26,8.1512,215.3
Control,bottom,27,8.2921,23.5571
Control,bottom,28,8.5642,27.4421
Control,bottom,29,8.3116,11.21
Control,bottom,30,8.497,24.6206
