Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.28,11.3533
Strips,top,2,8.299,9.7987
Strips,top,3,8.273,10.4596
Strips,top,4,8.527,10.1331
Strips,top,5,8.474,11.7453
Strips,top,6,,
Strips,top,7,8.276,10.5109
Strips,top,8,8.268,11.3964
Strips,top,9,8.499,11.0533
Strips,top,10,8.432,11.2943
Strips,middle,11,8.237,10.2006
Strips,middle,12,8.286,12.5291
Strips,middle,13,8.13,11.4923
Strips,middle,14,8.423,16.8748
Strips,middle,15,8.497,14.0111
Strips,middle,16,8.315,11.7253
Strips,middle,17,8.325,11.0022
Strips,middle,18,8.304,11.8651
Strips,middle,19,8.307,11.1244
Strips,middle,20,8.362,10.6633
Strips,bottom,21,8.255,9.6875
Strips,bottom,22,8.48,11.6848
Strips,bottom,23,8.346,10.6133
Strips,bottom,24,8.414,10.7007
Strips,bottom,25,8.445,10.585
Strips,bottom,26,8.197,10.3967
Strips,bottom,27,8.314,9.9908
Strips,bottom,28,8.243,9.5218
Strips,bottom,29,8.182,10.4714
Strips,bottom,30,8.428,8.9311
Control,top,1,8.29,11.0739
Control,top,2,8.214,11.1122
Control,top,3,8.31,10.133
Control,top,4,8.279,16.3433
Control,top,5,8.511,10.2455
Control,top,6,8.465,13.1678
Control,top,7,8.477,13.5343
Control,top,8,8.305,16.4105
Control,top,9,8.266,11.3824
Control,top,10,8.283,10.5718
Control,middle,11,8.241,11.3746
Control,middle,12,8.312,11.8572
Control,middle,13,8.237,10.2423
Control,middle,14,8.294,8.9977
Control,middle,15,8.273,10.0206
Control,middle,16,8.203,10.0488
Control,middle,17,8.329,10.09
Control,middle,18,8.194,10.9354
Control,middle,19,8.577,12.3615
Control,middle,20,8.403,10.5866
Control,bottom,21,8.309,12.0522
Control,bottom,22,8.237,10.4474
Control,bottom,23,8.25,15.5932
Control,bottom,24,8.225,10.7148
Control,bottom,25,8.298,13.475
Control,bottom,26,8.265,11.6927
Control,bottom,27,8.264,10.9619
Control,bottom,28,8.371,12.0717
Control,bottom,29,8.199,10.0517
Control,bottom,30,8.431,14.2061
