Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.15,32.45
Strips,top,2,8.28,9.92
Strips,top,3,8.27,46.96
Strips,top,4,8.26,13.47
Strips,top,5,8.48,28.43
Strips,top,6,8.29,175.17
Strips,top,7,8.46,12.86
Strips,top,8,8.45,9.5
Strips,top,9,8.47,10.51
Strips,top,10,8.22,27.58
Strips,middle,11,8.44,11.52
Strips,middle,12,8.45,10.2
Strips,middle,13,8.19,9.5
Strips,middle,14,8.2,8.93
Strips,middle,15,8.46,141.5
Strips,middle,16,8.47,44.94
Strips,middle,17,8.25,19.98
Strips,middle,18,8.43,23.38
Strips,middle,19,8.14,21.15
Strips,middle,20,8.46,11.81
Strips,bottom,21,8.47,11.28
Strips,bottom,22,8.43,11.18
Strips,bottom,23,8.46,10.34
Strips,bottom,24,8.46,12.68
Strips,bottom,25,8.5,11.44
Strips,bottom,26,8.26,9.55
Strips,bottom,27,8.33,10.87
Strips,bottom,28,8.48,51.99
Strips,bottom,29,8.27,82.46
Strips,bottom,30,8.17,13.11
Control,top,1,8.54,522.95
Control,top,2,8.48,11.15
Control,top,3,8.5,14.06
Control,top,4,8.22,65.06
Control,top,5,8.34,25.76
Control,top,6,8.35,19.38
Control,top,7,8.48,14.23
Control,top,8,8.35,53.04
Control,top,9,8.47,96.63
Control,top,10,8.21,87.03
Control,middle,11,8.45,22.05
Control,middle,12,8.26,11.52
Control,middle,13,8.31,70.39
Control,middle,14,8.26,19.3
Control,middle,15,8.23,45.18
Control,middle,16,8.29,17.07
Control,middle,17,8.32,83.45
Control,middle,18,8.31,108
Control,middle,19,8.42,35.74
Control,middle,20,8.19,9.84
Control,bottom,21,8.45,9.93
Control,bottom,22,8.46,14.5
Control,bottom,23,8.2,14.93
Control,bottom,24,8.18,12.65
Control,bottom,25,8.52,142.07
Control,bottom,26,8.23,10.81
Control,bottom,27,8.15,42.66
Control,bottom,28,8.51,10.37
Control,bottom,29,8.53,14.21
Control,bottom,30,8.19,86.71
