Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.44,9.69
Strips,top,2,8.42,11.27
Strips,top,3,8.6,11.02
Strips,top,4,8.46,10.05
Strips,top,5,8.57,9.69
Strips,top,6,8.11,10.89
Strips,top,7,8.11,9.77
Strips,top,8,8.43,10.71
Strips,top,9,8.48,9.68
Strips,top,10,8.93,10.03
Strips,middle,11,8.38,9.71
Strips,middle,12,8.23,9.63
Strips,middle,13,8.46,10.3
Strips,middle,14,8.19,9.28
Strips,middle,15,8.2,10.17
Strips,middle,16,8.17,9.15
Strips,middle,17,8.27,11.38
Strips,middle,18,8.35,9.8
Strips,middle,19,8.29,10.48
Strips,middle,20,8.44,10.81
Strips,bottom,21,8.29,9.8
Strips,bottom,22,8.46,9.51
Strips,bottom,23,8.43,9.61
Strips,bottom,24,8.51,9.37
Strips,bottom,25,8.51,9.45
Strips,bottom,26,8.31,9.33
Strips,bottom,27,8.18,9.18
Strips,bottom,28,8.42,9.54
Strips,bottom,29,8.19,9.33
Strips,bottom,30,8.28,12.61
Control,top,1,8.17,12.31
Control,top,2,8.49,14.54
Control,top,3,8.2,10.58
Control,top,4,8.18,11.96
Control,top,5,8.27,11.74
Control,top,6,8.24,13.34
Control,top,7,8.52,11.88
Control,top,8,8.46,11.95
Control,top,9,8.47,9.96
Control,top,10,8.53,13.11
Control,middle,11,8.42,9.97
Control,middle,12,8.18,9.25
Control,middle,13,8.34,12.9
Control,middle,14,8.6,10.08
Control,middle,15,8.42,9.94
Control,middle,16,8.46,12.44
Control,middle,17,8.41,11.8
Control,middle,18,8.2,10.62
Control,middle,19,8.46,11.5
Control,middle,20,8.22,10.14
Control,bottom,21,8.44,11.79
Control,bottom,22,8.35,10.94
Control,bottom,23,8.34,11.85
Control,bottom,24,8.5,10.91
Control,bottom,25,8.45,12.21
Control,bottom,26,8.14,9.42
Control,bottom,27,8.28,8.96
Control,bottom,28,8.4,10.23
Control,bottom,29,8.27,9.43
Control,bottom,30,8.51,9.65
