Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.2702,20.124
Strips,top,2,8.2454,24.542
Strips,top,3,8.2318,25.6664
Strips,top,4,8.3775,185.9
Strips,top,5,8.3978,48.9081
Strips,top,6,8.184,68.4
Strips,top,7,8.3064,22.6237
Strips,top,8,8.3981,22.5017
Strips,top,9,8.2868,33.2632
Strips,top,10,8.3419,27.4988
Strips,middle,11,8.4566,21.5473
Strips,middle,12,8.2555,39.5203
Strips,middle,13,8.5041,63.8
Strips,middle,14,8.2937,22.2663
Strips,middle,15,8.5461,15.3545
Strips,middle,16,8.298,23.7955
Strips,middle,17,8.4963,19.0545
Strips,middle,18,8.1944,30.3403
Strips,middle,19,8.2722,27.381
Strips,middle,20,8.2358,12.4884
Strips,bottom,21,8.3308,14.2788
Strips,bottom,22,8.2347,18.7414
Strips,bottom,23,8.5308,17.1775
Strips,bottom,24,8.1873,18.3293
Strips,bottom,25,8.5034,14.9514
Strips,bottom,26,8.5468,18.9676
Strips,bottom,27,8.55549,13.406
Strips,bottom,28,8.46,11.3263
Strips,bottom,29,8.5555,14.148
Strips,bottom,30,8.2106,15.5069
Control,top,1,8.3023,20.6525
Control,top,2,8.2079,31.865
Control,top,3,8.52,30.2019
Control,top,4,8.4144,61.6
Control,top,5,8.4715,26.4569
Control,top,6,8.4826,13.5627
Control,top,7,8.2792,22.3506
Control,top,8,8.3706,30.8742
Control,top,9,8.5062,22.9644
Control,top,10,8.9676,21.0752
Control,middle,11,9.1205,15.556
Control,middle,12,9.309,50.002
Control,middle,13,9.1524,16.757
Control,middle,14,9.0922,25.1703
Control,middle,15,8.4101,16.3316
Control,middle,16,8.2731,14.4902
Control,middle,17,8.5258,12.5235
Control,middle,18,9.0726,27.381
Control,middle,19,8.2653,26.4712
Control,middle,20,9.0537,21.3683
Control,bottom,21,8.6235,40.6704
Control,bottom,22,9.1031,23.0571
Control,bottom,23,9.0066,45.5709
Control,bottom,24,8.5053,20.2165
Control,bottom,25,9.0761,27.3676
Control,bottom,26,9.1298,20.6734
Control,bottom,27,9.1202,18.1182
Control,bottom,28,9.084,18.1025
Control,bottom,29,9.08,23.1162
Control,bottom,30,8.4189,23.3277
