Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.26,80.63
Strips,top,2,8.24,410.52
Strips,top,3,8.23,223.67
Strips,top,4,8.45,371.84
Strips,top,5,8.41,379.81
Strips,top,6,8.25,48.29
Strips,top,7,8.3,19.42
Strips,top,8,8.39,48.11
Strips,top,9,8.31,23.1
Strips,top,10,8.37,71.13
Strips,middle,11,8.47,91.11
Strips,middle,12,8.26,93.41
Strips,middle,13,8.48,56.43
Strips,middle,14,8.3,145.42
Strips,middle,15,8.54,52.56
Strips,middle,16,8.32,201.48
Strips,middle,17,8.51,71.1
Strips,middle,18,8.18,417.92
Strips,middle,19,8.3,93.17
Strips,middle,20,8.25,100.48
Strips,bottom,21,8.35,47.01
Strips,bottom,22,8.29,164.89
Strips,bottom,23,8.54,81.42
Strips,bottom,24,8.22,111.18
Strips,bottom,25,8.52,114.39
Strips,bottom,26,8.54,35.62
Strips,bottom,27,8.56,26.38
Strips,bottom,28,8.46,134.27
Strips,bottom,29,8.55,61.49
Strips,bottom,30,8.23,46.64
Control,top,1,8.29,37.52
Control,top,2,8.21,46.9
Control,top,3,8.5,30.97
Control,top,4,8.41,57.82
Control,top,5,8.48,84.59
Control,top,6,8.49,39.87
Control,top,7,8.28,73.35
Control,top,8,8.37,29.32
Control,top,9,8.5,12.11
Control,top,10,8.97,29.58
Control,middle,11,9.11,27.67
Control,middle,12,9.29,55.5
Control,middle,13,9.15,40.52
Control,middle,14,9.08,57.27
Control,middle,15,8.4,33.02
Control,middle,16,8.27,60.25
Control,middle,17,8.51,20.26
Control,middle,18,9.34,62.05
Control,middle,19,8.24,140.73
Control,middle,20,9.04,132.89
Control,bottom,21,8.58,78.96
Control,bottom,22,9.09,63.95
Control,bottom,23,9,21
Control,bottom,24,8.5,32.34
Control,bottom,25,9.06,213
Control,bottom,26,9.06,56.35
Control,bottom,27,9.14,119.53
Control,bottom,28,9.1,65.98
Control,bottom,29,9.06,100.83
Control,bottom,30,8.37,153.91
