Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.2,25.11
Strips,top,2,4.64,10.29
Strips,top,3,4.65,12.16
Strips,top,4,4.79,9.02
Strips,top,5,4.37,7.16
Strips,top,6,4.39,22.5
Strips,top,7,4.83,19.92
Strips,top,8,4.54,24.19
Strips,top,9,4.53,7.64
Strips,top,10,4.23,9.05
Strips,middle,11,4.38,15.28
Strips,middle,12,4.53,17.47
Strips,middle,13,4.6,24.16
Strips,middle,14,5.08,12.27
Strips,middle,15,8.82,75.84
Strips,middle,16,4.97,13.85
Strips,middle,17,4.63,6.09
Strips,middle,18,4.44,13.87
Strips,middle,19,5.19,23.31
Strips,middle,20,,
Strips,bottom,21,4.4,9.96
Strips,bottom,22,4.64,6.83
Strips,bottom,23,4.45,7.7
Strips,bottom,24,4.48,21.57
Strips,bottom,25,5.1,8.68
Strips,bottom,26,13.26,114.2
Strips,bottom,27,4.95,23.12
Strips,bottom,28,4.35,15.54
Strips,bottom,29,4.72,6.24
Strips,bottom,30,4.19,6.22
Control,top,1,5.02,13.53
Control,top,2,4.59,50.04
Control,top,3,4.31,8.01
Control,top,4,4.43,21.45
Control,top,5,4.41,22.03
Control,top,6,4.38,48
Control,top,7,4.58,6.16
Control,top,8,4.38,6.47
Control,top,9,4.28,16.96
Control,top,10,4.22,25.57
Control,middle,11,5.18,17.05
Control,middle,12,4.98,16.12
Control,middle,13,4.42,16.93
Control,middle,14,9.52,60.76
Control,middle,15,4.28,15.35
Control,middle,16,4.71,29.65
Control,middle,17,4.89,9.29
Control,middle,18,4.78,17.21
Control,middle,19,4.35,19.04
Control,middle,20,27.42,264.9
Control,bottom,21,4.38,10.21
Control,bottom,22,4.77,35.15
Control,bottom,23,4.7,33.84
Control,bottom,24,4.81,11.66
Control,bottom,25,4.26,29.8
Control,bottom,26,4.81,32.79
Control,bottom,27,8.5,70.25
Control,bottom,28,5.15,8.47
Control,bottom,29,4.62,7.24
Control,bottom,30,17.32,140.03
