Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.4671,9.3657
Strips,top,2,8.3324,9.4189
Strips,top,3,8.3192,11.6053
Strips,top,4,8.2965,10.6928
Strips,top,5,8.2655,13.5411
Strips,top,6,8.3151,9.7785
Strips,top,7,8.71,10.849
Strips,top,8,8.4457,11.5594
Strips,top,9,8.1993,9.3664
Strips,top,10,8.4484,11.084
Strips,middle,11,8.3104,9.272
Strips,middle,12,8.2864,8.8098
Strips,middle,13,8.3303,10.0152
Strips,middle,14,8.3072,11.4442
Strips,middle,15,8.3862,10.3755
Strips,middle,16,8.275,10.8405
Strips,middle,17,8.306,10.4848
Strips,middle,18,8.3097,10.9882
Strips,middle,19,8.3408,10.2125
Strips,middle,20,8.4649,11.5806
Strips,bottom,21,8.213,8.927
Strips,bottom,22,8.3353,9.0049
Strips,bottom,23,8.2221,9.6689
Strips,bottom,24,8.4369,9.514
Strips,bottom,25,8.3743,9.6648
Strips,bottom,26,8.2635,9.2488
Strips,bottom,27,8.3515,9.7304
Strips,bottom,28,8.2353,9.6318
Strips,bottom,29,8.2537,9.8467
Strips,bottom,30,8.217,9.6613
Control,top,1,8.2756,8.9117
Control,top,2,8.2355,10.2338
Control,top,3,8.2762,9.1546
Control,top,4,8.1728,9.0454
Control,top,5,8.0925,13
Control,top,6,8.4435,9.1121
Control,top,7,8.1652,10.1401
Control,top,8,8.663,10.5236
Control,top,9,8.3973,10.4668
Control,top,10,8.4006,10.1855
Control,middle,11,8.4305,9.8304
Control,middle,12,8.501,9.253
Control,middle,13,8.2334,11.4959
Control,middle,14,8.2928,34.4309
Control,middle,15,8.5467,10.7658
Control,middle,16,8.3359,9.8224
Control,middle,17,8.3468,10.1523
Control,middle,18,8.233,8.6622
Control,middle,19,8.2896,10.7862
Control,middle,20,8.3404,11.2972
Control,bottom,21,8.3424,10.4301
Control,bottom,22,8.2933,10.8628
Control,bottom,23,8.3071,13.3704
Control,bottom,24,8.4465,10.8618
Control,bottom,25,8.319,13.1592
Control,bottom,26,8.2193,9.6678
Control,bottom,27,8.3333,11.4065
Control,bottom,28,8.22,9.854
Control,bottom,29,8.2585,9.0377
Control,bottom,30,8.2784,12.6145
