Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.4671,10.0627
Strips,top,2,8.3324,9.9675
Strips,top,3,8.3192,10.9274
Strips,top,4,8.2965,10.3474
Strips,top,5,8.2655,11.6529
Strips,top,6,8.3151,9.955
Strips,top,7,8.71,10.9184
Strips,top,8,8.4457,10.3607
Strips,top,9,8.1993,9.2577
Strips,top,10,8.4484,10.8587
Strips,middle,11,8.3104,10.3842
Strips,middle,12,8.2864,9.4664
Strips,middle,13,8.3303,11.5338
Strips,middle,14,8.3072,12.0131
Strips,middle,15,8.3862,9.1431
Strips,middle,16,8.275,9.7057
Strips,middle,17,8.306,10.0169
Strips,middle,18,8.3097,10.5355
Strips,middle,19,8.3408,10.3003
Strips,middle,20,8.4649,11.1193
Strips,bottom,21,8.213,9.0523
Strips,bottom,22,8.3353,9.4119
Strips,bottom,23,8.2221,9.4398
Strips,bottom,24,8.4369,9.0214
Strips,bottom,25,8.3743,9.2748
Strips,bottom,26,8.2635,9.0888
Strips,bottom,27,8.3515,9.3787
Strips,bottom,28,8.2353,10.2939
Strips,bottom,29,8.2537,9.49
Strips,bottom,30,8.217,9.7479
Control,top,1,8.2756,8.9886
Control,top,2,8.2355,9.9912
Control,top,3,8.2762,8.8964
Control,top,4,8.1728,8.7974
Control,top,5,8.0925,10.8147
Control,top,6,8.4435,10.084
Control,top,7,8.1652,9.5761
Control,top,8,8.663,10.9926
Control,top,9,8.3973,9.963
Control,top,10,8.4006,9.9259
Control,middle,11,8.4305,10.4743
Control,middle,12,8.501,9.2307
Control,middle,13,8.2334,10.617
Control,middle,14,8.2928,43.6312
Control,middle,15,8.5467,11.5906
Control,middle,16,8.3359,10.1991
Control,middle,17,8.3468,8.8825
Control,middle,18,8.233,10.0738
Control,middle,19,8.2896,9.2716
Control,middle,20,8.3404,9.2973
Control,bottom,21,8.3424,10.4094
Control,bottom,22,8.2933,14.8976
Control,bottom,23,8.3071,10.017
Control,bottom,24,8.4465,11.0635
Control,bottom,25,8.319,28.2847
Control,bottom,26,8.2193,13.4614
Control,bottom,27,8.3333,9.9777
Control,bottom,28,8.22,10.0413
Control,bottom,29,8.2585,9.6938
Control,bottom,30,8.2784,12.0314
