Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.0907,49.1048
Strips,top,2,8.4471,11.3204
Strips,top,3,8.3174,10.7952
Strips,top,4,8.2934,11.0945
Strips,top,5,8.4413,16.9019
Strips,top,6,8.2988,11.6691
Strips,top,7,8.4984,10.8292
Strips,top,8,8.3539,10.5673
Strips,top,9,8.3343,10.7164
Strips,top,10,8.3275,11.1184
Strips,middle,11,8.3589,9.9401
Strips,middle,12,8.3237,13.7874
Strips,middle,13,8.3259,9.6591
Strips,middle,14,8.4571,10.9766
Strips,middle,15,8.3432,11.1895
Strips,middle,16,8.4435,38.1604
Strips,middle,17,8.3378,11.0273
Strips,middle,18,8.3588,10.5499
Strips,middle,19,8.3059,65.8
Strips,middle,20,8.3384,10.5388
Strips,bottom,21,8.2559,11.0318
Strips,bottom,22,8.3181,12.3504
Strips,bottom,23,8.248,11.4615
Strips,bottom,24,8.3341,47.5497
Strips,bottom,25,8.366,67.4
Strips,bottom,26,8.3677,44.448
Strips,bottom,27,8.305,14.7522
Strips,bottom,28,8.1589,10.1969
Strips,bottom,29,8.3018,10.9277
Strips,bottom,30,8.2417,13.1744
Control,top,1,8.2892,16.1911
Control,top,2,8.1775,10.2266
Control,top,3,8.382,11.7123
Control,top,4,8.4595,11.1461
Control,top,5,8.5333,13.3165
Control,top,6,8.2908,10.7431
Control,top,7,8.5421,12.6941
Control,top,8,8.4827,12.66
Control,top,9,8.2723,16.3478
Control,top,10,8.3487,12.2203
Control,middle,11,8.2742,11.8535
Control,middle,12,8.407,17.0424
Control,middle,13,8.3467,11.896
Control,middle,14,8.5506,80.5
Control,middle,15,8.3033,11.1062
Control,middle,16,8.3174,22.2267
Control,middle,17,8.283,12.4338
Control,middle,18,8.2927,13.7855
Control,middle,19,8.5162,17.0666
Control,middle,20,8.3284,15.9442
Control,bottom,21,8.3216,12.9891
Control,bottom,22,8.2392,32.9533
Control,bottom,23,8.3059,12.1611
Control,bottom,24,8.3268,11.8895
Control,bottom,25,8.3321,27.9596
Control,bottom,26,8.3778,16.0571
Control,bottom,27,8.4432,18.99
Control,bottom,28,8.4778,40.0939
Control,bottom,29,8.3323,16.4215
Control,bottom,30,8.5438,15.5867
