Year,SiteID,Time,weight,PadID,Days,Treatment,Position,flume,Diversion
2019,RDM,1,1.0794,RDM19C,18,control,middle,NC,
2019,RDM,2,3.6619,RDM19C,31,control,middle,NC,
2019,RDM,3,1.0943,RDM19C,20,control,middle,NC,
2019,RDM,1,1.4325,RDM19T,18,strips,middle,NC,
2019,RDM,2,1.1935,RDM19T,32,strips,middle,NC,
2019,RDM,3,0.9774,RDM19T,19,strips,middle,NC,
2019,RDM,1,1.5212,RDM20C,18,control,middle,NC,
2019,RDM,2,23.2027,RDM20C,31,control,middle,NC,
2019,RDM,3,5.2088,RDM20C,20,control,middle,NC,
2019,RDM,1,2.719,RDM20T,18,strips,middle,NC,
2019,RDM,2,2.6908,RDM20T,32,strips,middle,NC,
2019,RDM,3,0.9491,RDM20T,19,strips,middle,NC,
2019,RDM,1,1.771,RDM21C,18,control,bottom,NC,
2019,RDM,2,4.1233,RDM21C,31,control,bottom,NC,
2019,RDM,3,1.3147,RDM21C,20,control,bottom,NC,
2019,RDM,1,9.4905,RDM21T,18,strips,bottom,NC,
2019,RDM,2,7.9492,RDM21T,32,strips,bottom,NC,
2019,RDM,3,2.708,RDM21T,19,strips,bottom,NC,
2019,RDM,1,4.0346,RDM22C,18,control,bottom,NC,
2019,RDM,2,16.5762,RDM22C,31,control,bottom,NC,
2019,RDM,3,1.6829,RDM22C,20,control,bottom,NC,
2019,RDM,1,5.8273,RDM22T,18,strips,bottom,NC,
2019,RDM,2,8.0112,RDM22T,32,strips,bottom,NC,
2019,RDM,3,1.6262,RDM22T,19,strips,bottom,NC,
2019,RDM,1,1.2778,RDM23C,18,control,bottom,NC,
2019,RDM,2,1.995,RDM23C,31,control,bottom,NC,
2019,RDM,3,0.5206,RDM23C,20,control,bottom,NC,
2019,RDM,1,16.0937,RDM23T,18,strips,bottom,NC,
2019,RDM,2,7.5389,RDM23T,32,strips,bottom,NC,
2019,RDM,3,2.0395,RDM23T,19,strips,bottom,NC,
2019,RDM,1,7.8051,RDM24C,18,control,bottom,NC,
2019,RDM,2,8.9887,RDM24C,31,control,bottom,NC,
2019,RDM,3,1.7374,RDM24C,20,control,bottom,NC,
2019,RDM,1,1.1264,RDM24T,18,strips,bottom,NC,
2019,RDM,2,4.0166,RDM24T,32,strips,bottom,NC,
2019,RDM,3,0.4863,RDM24T,19,strips,bottom,NC,
2019,RDM,1,3.4037,RDM25C,18,control,bottom,NC,
2019,RDM,2,9.9984,RDM25C,31,control,bottom,NC,
2019,RDM,3,2.4165,RDM25C,20,control,bottom,NC,
2019,RDM,1,1.4717,RDM25T,18,strips,bottom,NC,
2019,RDM,2,5.6626,RDM25T,32,strips,bottom,NC,
2019,RDM,3,1.4726,RDM25T,19,strips,bottom,NC,
2019,RDM,1,4.6669,RDM26C,18,control,bottom,NC,
2019,RDM,2,6.53,RDM26C,31,control,bottom,NC,
2019,RDM,3,1,RDM26C,20,control,bottom,NC,
2019,RDM,1,3.2235,RDM26T,18,strips,bottom,NC,
2019,RDM,2,19.4113,RDM26T,32,strips,bottom,NC,
2019,RDM,3,2.2165,RDM26T,19,strips,bottom,NC,
2019,RDM,1,1.2261,RDM27C,18,control,bottom,NC,
2019,RDM,2,3.0615,RDM27C,31,control,bottom,NC,
2019,RDM,3,0.8829,RDM27C,20,control,bottom,NC,
2019,RDM,1,6.9124,RDM27T,18,strips,bottom,NC,
2019,RDM,2,12.7269,RDM27T,32,strips,bottom,NC,
2019,RDM,3,1.9695,RDM27T,19,strips,bottom,NC,
2019,RDM,1,3.6809,RDM28C,18,control,bottom,NC,
2019,RDM,2,14.014,RDM28C,31,control,bottom,NC,
2019,RDM,3,1.8828,RDM28C,20,control,bottom,NC,
2019,RDM,1,6.303,RDM28T,18,strips,bottom,NC,
2019,RDM,2,11.6087,RDM28T,32,strips,bottom,NC,
2019,RDM,3,1.6874,RDM28T,19,strips,bottom,NC,
2019,RDM,1,1.9816,RDM29C,18,control,bottom,NC,
2019,RDM,2,6.0565,RDM29C,31,control,bottom,NC,
2019,RDM,3,0.5952,RDM29C,20,control,bottom,NC,
2019,RDM,1,0.6437,RDM29T,18,strips,bottom,NC,
2019,RDM,2,6.2645,RDM29T,32,strips,bottom,NC,
2019,RDM,3,1.1622,RDM29T,19,strips,bottom,NC,
2019,RDM,1,2.1829,RDM30C,18,control,bottom,NC,
2019,RDM,2,4.4828,RDM30C,31,control,bottom,NC,
2019,RDM,3,0.5907,RDM30C,20,control,bottom,NC,
2019,RDM,1,2.7031,RDM30T,18,strips,bottom,NC,
2019,RDM,2,3.565,RDM30T,32,strips,bottom,NC,
2019,RDM,3,1.2306,RDM30T,19,strips,bottom,NC,
2016,RHO,1,6.32,RHO01C,22,control,top,NC,
2016,RHO,2,6.81,RHO01C,21,control,top,NC,
2017,RHO,1,62.05,RHO01C,23,control,top,NC,
2017,RHO,2,27.52,RHO01C,19,control,top,NC,
2017,RHO,3,47.25,RHO01C,28,control,top,NC,
2018,RHO,1,4.14,RHO01C,22,control,top,NC,
2018,RHO,2,62.53,RHO01C,14,control,top,NC,
2018,RHO,3,51.41,RHO01C,12,control,top,NC,
2019,RHO,1,57.188,RHO01C,12,control,top,NC,
2019,RHO,2,86.688,RHO01C,16,control,top,NC,
2019,RHO,3,135.088,RHO01C,13,control,top,NC,
2016,RHO,1,5.67,RHO01T,22,strips,top,NC,
2016,RHO,2,12.19,RHO01T,21,strips,top,NC,
2017,RHO,1,107.84,RHO01T,23,strips,top,NC,
2017,RHO,2,54.93,RHO01T,19,strips,top,NC,
2017,RHO,3,81.47,RHO01T,28,strips,top,NC,
2018,RHO,1,1.25,RHO01T,22,strips,top,NC,
2018,RHO,2,1.79,RHO01T,14,strips,top,NC,
2018,RHO,3,8.35,RHO01T,12,strips,top,NC,
2019,RHO,1,98.8728,RHO01T,12,strips,top,NC,
2019,RHO,2,13.6603,RHO01T,16,strips,top,NC,
2019,RHO,3,43.3728,RHO01T,13,strips,top,NC,
2016,RHO,1,13.19,RHO02C,22,control,top,NC,
2016,RHO,2,13.87,RHO02C,21,control,top,NC,
2017,RHO,1,736.12,RHO02C,23,control,top,NC,
2017,RHO,2,22.18,RHO02C,19,control,top,NC,
2017,RHO,3,59.85,RHO02C,28,control,top,NC,
2018,RHO,1,6.05,RHO02C,22,control,top,NC,
2018,RHO,2,57.55,RHO02C,14,control,top,NC,
2018,RHO,3,2.76,RHO02C,12,control,top,NC,
2019,RHO,1,42.5626,RHO02C,12,control,top,NC,
2019,RHO,2,43.2626,RHO02C,16,control,top,NC,
2019,RHO,3,115.9626,RHO02C,13,control,top,NC,
2016,RHO,1,2.31,RHO02T,22,strips,top,NC,
2016,RHO,2,1.94,RHO02T,21,strips,top,NC,
2017,RHO,1,0.89,RHO02T,23,strips,top,NC,
2017,RHO,2,3.35,RHO02T,19,strips,top,NC,
2017,RHO,3,24.93,RHO02T,28,strips,top,NC,
2018,RHO,1,2.85,RHO02T,22,strips,top,NC,
2018,RHO,2,75.41,RHO02T,14,strips,top,NC,
2018,RHO,3,3.4,RHO02T,12,strips,top,NC,
2019,RHO,1,5.4057,RHO02T,12,strips,top,NC,
2019,RHO,2,7.5177,RHO02T,16,strips,top,NC,
2019,RHO,3,5.6081,RHO02T,13,strips,top,NC,
2016,RHO,1,13.22,RHO03C,22,control,top,NC,
2016,RHO,2,12.57,RHO03C,21,control,top,NC,
2017,RHO,1,180.6,RHO03C,23,control,top,NC,
2017,RHO,2,66.39,RHO03C,19,control,top,NC,
2017,RHO,3,4,RHO03C,28,control,top,NC,
2018,RHO,1,2.38,RHO03C,22,control,top,NC,
2018,RHO,2,17.49,RHO03C,14,control,top,NC,
2018,RHO,3,1.32,RHO03C,12,control,top,NC,
2019,RHO,1,51.7959,RHO03C,12,control,top,NC,
2019,RHO,2,37.0311,RHO03C,16,control,top,NC,
2019,RHO,3,18.5231,RHO03C,13,control,top,NC,
2016,RHO,1,7.08,RHO03T,22,strips,top,NC,
2016,RHO,2,12.05,RHO03T,21,strips,top,NC,
2017,RHO,1,4.6,RHO03T,23,strips,top,NC,
2017,RHO,2,26.06,RHO03T,19,strips,top,NC,
2017,RHO,3,4.24,RHO03T,28,strips,top,NC,
2018,RHO,1,2.42,RHO03T,22,strips,top,NC,
2018,RHO,2,64.84,RHO03T,14,strips,top,NC,
2018,RHO,3,10.64,RHO03T,12,strips,top,NC,
2019,RHO,1,4.448,RHO03T,12,strips,top,NC,
2019,RHO,2,16.1082,RHO03T,16,strips,top,NC,
2019,RHO,3,28.3582,RHO03T,13,strips,top,NC,
2016,RHO,1,4.63,RHO04C,22,control,top,NC,
