Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.05,32.57
Strips,top,2,8.41,22.32
Strips,top,3,8.29,12.21
Strips,top,4,8.29,9.26
Strips,top,5,8.43,11.57
Strips,top,6,8.25,17.71
Strips,top,7,8.47,11.48
Strips,top,8,8.3,9.036
Strips,top,9,8.25,10.98
Strips,top,10,8.23,9.95
Strips,middle,11,8.35,12.96
Strips,middle,12,8.29,15.26
Strips,middle,13,8.27,8.68
Strips,middle,14,8.43,16.13
Strips,middle,15,8.3,15.66
Strips,middle,16,8.41,9.71
Strips,middle,17,8.32,10.86
Strips,middle,18,8.3,9.05
Strips,middle,19,8.25,11.78
Strips,middle,20,8.31,14.67
Strips,bottom,21,8.25,13.4
Strips,bottom,22,8.31,18.09
Strips,bottom,23,8.22,8.86
Strips,bottom,24,8.3,236.35
Strips,bottom,25,8.33,10.2
Strips,bottom,26,8.34,14.02
Strips,bottom,27,8.26,10.39
Strips,bottom,28,8.14,9.68
Strips,bottom,29,8.3,10.47
Strips,bottom,30,8.23,8.74
Control,top,1,8.28,11.08
Control,top,2,8.16,9.4
Control,top,3,8.34,8.61
Control,top,4,8.42,10.34
Control,top,5,8.52,10.34
Control,top,6,8.28,11.77
Control,top,7,8.5,9.09
Control,top,8,8.46,10.23
Control,top,9,8.25,8.49
Control,top,10,8.35,8.85
Control,middle,11,8.23,8.86
Control,middle,12,8.4,8.88
Control,middle,13,8.32,8.79
Control,middle,14,8.54,10.29
Control,middle,15,8.28,9.33
Control,middle,16,8.3,13.71
Control,middle,17,8.27,10.7
Control,middle,18,8.27,16.53
Control,middle,19,8.49,10.16
Control,middle,20,8.31,11.3
Control,bottom,21,8.28,16.81
Control,bottom,22,8.23,13.07
Control,bottom,23,8.32,11.53
Control,bottom,24,8.29,23.35
Control,bottom,25,8.32,23.09
Control,bottom,26,8.34,13.8
Control,bottom,27,8.44,9.09
Control,bottom,28,8.38,12.6
Control,bottom,29,8.31,9.29
Control,bottom,30,8.54,10.18
