Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.28,8.84
Strips,top,2,8.31,8.69
Strips,top,3,8.29,9.07
Strips,top,4,8.53,9.4
Strips,top,5,8.48,10.07
Strips,top,6,8.26,9.66
Strips,top,7,8.29,9.14
Strips,top,8,8.28,8.98
Strips,top,9,8.5,9.36
Strips,top,10,8.43,9.59
Strips,middle,11,8.25,9.82
Strips,middle,12,8.3,9.48
Strips,middle,13,8.14,9.43
Strips,middle,14,8.43,13.64
Strips,middle,15,8.5,11.07
Strips,middle,16,8.32,9.97
Strips,middle,17,8.34,10.83
Strips,middle,18,8.31,10.81
Strips,middle,19,8.32,9.57
Strips,middle,20,8.37,9
Strips,bottom,21,8.25,8.54
Strips,bottom,22,8.51,9.56
Strips,bottom,23,8.35,8.87
Strips,bottom,24,8.42,9.38
Strips,bottom,25,8.45,9.41
Strips,bottom,26,8.21,9.32
Strips,bottom,27,8.32,9.24
Strips,bottom,28,8.25,8.66
Strips,bottom,29,8.19,11.68
Strips,bottom,30,8.44,8.97
Control,top,1,8.3,8.64
Control,top,2,8.21,9.12
Control,top,3,8.28,10.07
Control,top,4,8.28,9.45
Control,top,5,8.52,9.87
Control,top,6,8.46,9.46
Control,top,7,8.48,9.03
Control,top,8,8.32,12.84
Control,top,9,8.27,8.94
Control,top,10,8.29,9.88
Control,middle,11,8.24,10.34
Control,middle,12,8.32,9.27
Control,middle,13,8.24,8.89
Control,middle,14,8.29,9.14
Control,middle,15,8.27,10.9
Control,middle,16,8.22,9.5
Control,middle,17,8.34,8.86
Control,middle,18,8.2,8.64
Control,middle,19,8.57,22.66
Control,middle,20,8.4,10.03
Control,bottom,21,8.31,8.62
Control,bottom,22,8.24,9.04
Control,bottom,23,8.26,10.35
Control,bottom,24,8.23,10.48
Control,bottom,25,8.3,9.09
Control,bottom,26,8.27,10.78
Control,bottom,27,8.28,10.09
Control,bottom,28,8.37,8.77
Control,bottom,29,8.21,9.9
Control,bottom,30,8.44,9.57
