Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.28,9.48
Strips,top,2,8.31,10.31
Strips,top,3,8.29,10.32
Strips,top,4,8.54,10.43
Strips,top,5,8.47,10.24
Strips,top,6,8.26,9.19
Strips,top,7,8.28,10.86
Strips,top,8,8.28,10.03
Strips,top,9,8.51,10.61
Strips,top,10,8.44,12.15
Strips,middle,11,8.24,11.15
Strips,middle,12,8.28,10.63
Strips,middle,13,8.15,12.08
Strips,middle,14,8.43,18.91
Strips,middle,15,8.52,11.32
Strips,middle,16,8.33,8.75
Strips,middle,17,8.33,11.09
Strips,middle,18,8.32,18.94
Strips,middle,19,8.32,10.22
Strips,middle,20,8.36,9.08
Strips,bottom,21,8.26,8.54
Strips,bottom,22,8.49,12.09
Strips,bottom,23,8.33,9.18
Strips,bottom,24,8.43,9.72
Strips,bottom,25,8.46,11.86
Strips,bottom,26,8.21,8.93
Strips,bottom,27,8.32,9.09
Strips,bottom,28,8.26,9.42
Strips,bottom,29,8.2,11.42
Strips,bottom,30,8.43,8.57
Control,top,1,8.31,8.95
Control,top,2,8.22,10.79
Control,top,3,8.33,10.66
Control,top,4,8.29,9.19
Control,top,5,8.52,10.58
Control,top,6,8.48,10.48
Control,top,7,8.49,9.73
Control,top,8,8.33,11.57
Control,top,9,8.28,10.72
Control,top,10,8.29,9.4
Control,middle,11,8.25,11.64
Control,middle,12,8.34,10.2
Control,middle,13,8.24,9.56
Control,middle,14,8.3,10.39
Control,middle,15,8.27,10.13
Control,middle,16,8.2,10.16
Control,middle,17,8.34,9.53
Control,middle,18,8.2,9.07
Control,middle,19,8.56,21.88
Control,middle,20,8.4,15.18
Control,bottom,21,8.31,8.67
Control,bottom,22,8.23,8.9
Control,bottom,23,8.23,9.19
Control,bottom,24,8.22,14.1
Control,bottom,25,8.27,9.61
Control,bottom,26,8.27,21.79
Control,bottom,27,8.25,9.63
Control,bottom,28,8.37,9.35
Control,bottom,29,8.18,9.74
Control,bottom,30,8.42,9.34
