Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.2701,21.5673
Strips,top,2,8.2454,19.1533
Strips,top,3,8.2318,16.8676
Strips,top,4,8.3775,45.3501
Strips,top,5,8.3978,35.5593
Strips,top,6,8.184,83.9
Strips,top,7,8.3064,43.9591
Strips,top,8,8.3981,18.8018
Strips,top,9,8.2868,71.1
Strips,top,10,8.3419,30.875
Strips,middle,11,8.4566,18.07
Strips,middle,12,8.2555,40.835
Strips,middle,13,8.5041,77.7
Strips,middle,14,8.2937,32.9439
Strips,middle,15,8.5461,35.9485
Strips,middle,16,8.298,20.3836
Strips,middle,17,8.4963,38.6125
Strips,middle,18,8.1944,20.0281
Strips,middle,19,8.2722,28.0668
Strips,middle,20,8.2358,67.1
Strips,bottom,21,8.3308,24.7996
Strips,bottom,22,8.2347,13.6499
Strips,bottom,23,8.5308,29.8013
Strips,bottom,24,8.1873,46.1701
Strips,bottom,25,8.5034,24.0465
Strips,bottom,26,8.5468,21.1248
Strips,bottom,27,8.5549,12.9414
Strips,bottom,28,8.46,50.278
Strips,bottom,29,8.5555,27.7204
Strips,bottom,30,8.2106,22.429
Control,top,1,8.3023,120.9
Control,top,2,8.2079,77.8
Control,top,3,8.52,21.021
Control,top,4,8.4144,29.2116
Control,top,5,8.4715,20.996
Control,top,6,8.4826,27.5784
Control,top,7,8.2792,13.2511
Control,top,8,8.3706,33.0888
Control,top,9,8.5062,142.2
Control,top,10,8.9676,20.9527
Control,middle,11,9.1205,126.5
Control,middle,12,9.309,21.9401
Control,middle,13,9.1524,15.7657
Control,middle,14,9.0922,78.8
Control,middle,15,8.4101,15.52
Control,middle,16,8.2731,45.3372
Control,middle,17,8.5258,14.0419
Control,middle,18,9.0726,48.373
Control,middle,19,8.2653,17.2703
Control,middle,20,9.0537,19.4605
Control,bottom,21,8.6235,35.8355
Control,bottom,22,9.1031,23.3029
Control,bottom,23,9.0066,213
Control,bottom,24,8.5053,23.2745
Control,bottom,25,9.0761,115.5
Control,bottom,26,9.1298,114.3
Control,bottom,27,9.1202,21.465
Control,bottom,28,9.084,26.7723
Control,bottom,29,9.08,23.1215
Control,bottom,30,8.4189,24.1949
