Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.28,24.3133
Strips,top,2,8.299,28.6255
Strips,top,3,8.273,123.4
Strips,top,4,8.527,12.6424
Strips,top,5,8.474,63.4
Strips,top,6,17.1,568.7
Strips,top,7,8.276,89.1
Strips,top,8,8.268,18.8572
Strips,top,9,8.499,20.3287
Strips,top,10,8.432,16.876
Strips,middle,11,8.237,17.3394
Strips,middle,12,8.286,18.8651
Strips,middle,13,8.13,21.6707
Strips,middle,14,8.423,47.9791
Strips,middle,15,8.497,110.1
Strips,middle,16,8.315,13.6089
Strips,middle,17,8.325,21.3188
Strips,middle,18,8.304,17.9942
Strips,middle,19,8.307,11.6977
Strips,middle,20,8.362,13.1028
Strips,bottom,21,8.255,63.1
Strips,bottom,22,8.48,16.3893
Strips,bottom,23,8.346,28.9317
Strips,bottom,24,8.414,14.3626
Strips,bottom,25,8.445,16.0094
Strips,bottom,26,8.197,33.5001
Strips,bottom,27,8.314,12.5835
Strips,bottom,28,8.243,14.3179
Strips,bottom,29,8.182,14.8266
Strips,bottom,30,8.428,9.0246
Control,top,1,8.31,11.7149
Control,top,2,8.23,13.3266
Control,top,3,8.3,19.5464
Control,top,4,8.28,46.2903
Control,top,5,8.51,12.4478
Control,top,6,8.46,29.7614
Control,top,7,8.47,30.6996
Control,top,8,8.31,38.5891
Control,top,9,8.27,16.2245
Control,top,10,8.28,13.5678
Control,middle,11,8.23,12.9362
Control,middle,12,8.33,15.0005
Control,middle,13,8.24,14.6155
Control,middle,14,8.3,12.0909
Control,middle,15,8.28,12.7145
Control,middle,16,8.2,31.8906
Control,middle,17,8.34,26.9859
Control,middle,18,8.2,23.6969
Control,middle,19,8.55,27.7445
Control,middle,20,8.4,15.117
Control,bottom,21,8.3,63.6
Control,bottom,22,8.23,19.9482
Control,bottom,23,8.24,34.6747
Control,bottom,24,8.22,35.7765
Control,bottom,25,8.27,172.3
Control,bottom,26,8.25,14.5918
Control,bottom,27,8.25,11.8756
Control,bottom,28,8.36,28.8731
Control,bottom,29,8.19,17.4148
Control,bottom,30,8.42,53.4
