Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.0907,12.1333
Strips,top,2,8.4471,10.6731
Strips,top,3,8.3174,9.4926
Strips,top,4,8.2934,9.303
Strips,top,5,8.4413,10.1881
Strips,top,6,8.2988,11.5843
Strips,top,7,8.4984,11.1133
Strips,top,8,8.3539,11.373
Strips,top,9,8.3343,12.3469
Strips,top,10,8.3275,10.5291
Strips,middle,11,8.3589,10.0318
Strips,middle,12,8.3237,11.0919
Strips,middle,13,8.3259,10.2433
Strips,middle,14,8.4571,11.4254
Strips,middle,15,8.3432,14.7842
Strips,middle,16,8.4435,12.7347
Strips,middle,17,8.3378,11.606
Strips,middle,18,8.3588,10.0051
Strips,middle,19,8.3059,16.3346
Strips,middle,20,8.3384,11.2559
Strips,bottom,21,8.2559,10.2626
Strips,bottom,22,8.3181,9.7901
Strips,bottom,23,8.248,11.6067
Strips,bottom,24,8.3341,14.5673
Strips,bottom,25,8.366,24.2402
Strips,bottom,26,8.3677,12.1632
Strips,bottom,27,8.305,61.3
Strips,bottom,28,8.1589,10.9693
Strips,bottom,29,8.3018,11.033
Strips,bottom,30,8.2417,10.0514
Control,top,1,8.2892,12.5142
Control,top,2,8.1775,16.9053
Control,top,3,8.382,13.6773
Control,top,4,8.4595,12.1991
Control,top,5,8.5333,10.2011
Control,top,6,8.2908,12.1413
Control,top,7,8.5421,13.954
Control,top,8,8.4827,9.1807
Control,top,9,8.2723,10.4907
Control,top,10,8.3487,10.1938
Control,middle,11,8.2742,9.896
Control,middle,12,8.407,10.0984
Control,middle,13,8.3467,11.9963
Control,middle,14,8.5506,14.7054
Control,middle,15,8.3033,10.1909
Control,middle,16,8.3174,12.6549
Control,middle,17,8.283,12.5101
Control,middle,18,8.2927,9.8779
Control,middle,19,8.5162,10.161
Control,middle,20,8.3284,14.9273
Control,bottom,21,8.3216,17.9389
Control,bottom,22,8.2392,9.759
Control,bottom,23,8.3059,28.8246
Control,bottom,24,8.3268,16.3808
Control,bottom,25,8.3321,10.5617
Control,bottom,26,8.3778,9.9293
Control,bottom,27,8.4432,11.3961
Control,bottom,28,8.4778,18.9827
Control,bottom,29,8.3323,10.7667
Control,bottom,30,8.5438,17.398
