Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.4,46.84
Strips,top,2,4.98,8.37
Strips,top,3,4.84,5.43
Strips,top,4,4.9,5.85
Strips,top,5,4.39,4.47
Strips,top,6,4.44,5.22
Strips,top,7,4.86,8.42
Strips,top,8,4.51,20.76
Strips,top,9,4.61,5.65
Strips,top,10,4.37,5.54
Strips,middle,11,4.42,7.14
Strips,middle,12,4.67,5.14
Strips,middle,13,4.72,10.47
Strips,middle,14,5.4,8.41
Strips,middle,15,4.44,13.72
Strips,middle,16,4.96,7.88
Strips,middle,17,4.61,7.19
Strips,middle,18,4.58,37.95
Strips,middle,19,5.28,11.41
Strips,middle,20,4.91,9.21
Strips,bottom,21,4.36,4.85
Strips,bottom,22,4.65,35.59
Strips,bottom,23,4.48,5.25
Strips,bottom,24,4.58,5.87
Strips,bottom,25,5.12,5.23
Strips,bottom,26,4.41,4.61
Strips,bottom,27,4.95,6.03
Strips,bottom,28,4.37,4.98
Strips,bottom,29,4.77,11.75
Strips,bottom,30,4.24,10.75
Control,top,1,5.2,19.19
Control,top,2,4.69,7.5
Control,top,3,4.35,25.75
Control,top,4,4.46,5.71
Control,top,5,4.65,7.42
Control,top,6,8.84,71.31
Control,top,7,4.59,9.29
Control,top,8,4.56,9.79
Control,top,9,4.38,31.69
Control,top,10,4.25,4.36
Control,middle,11,5.34,36.77
Control,middle,12,5.04,6.3
Control,middle,13,4.53,11.82
Control,middle,14,4.82,18.46
Control,middle,15,4.32,9.84
Control,middle,16,4.81,12.6
Control,middle,17,4.94,13.72
Control,middle,18,5.09,10.97
Control,middle,19,4.6,5.07
Control,middle,20,4.63,5.22
Control,bottom,21,8.84,70.66
Control,bottom,22,4.93,11.23
Control,bottom,23,4.77,6.06
Control,bottom,24,4.83,27.48
Control,bottom,25,4.45,17.95
Control,bottom,26,4.82,9.15
Control,bottom,27,4.33,10.12
Control,bottom,28,5.34,5.38
Control,bottom,29,4.78,17.18
Control,bottom,30,13.17,124.41
