Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.28,11.6997
Strips,top,2,8.299,12.8215
Strips,top,3,8.273,14.4085
Strips,top,4,8.527,11.1746
Strips,top,5,8.474,11.8104
Strips,top,6,17.1,25.7126
Strips,top,7,8.276,12.959
Strips,top,8,8.268,11.5843
Strips,top,9,8.499,18.3644
Strips,top,10,8.432,14.1409
Strips,middle,11,8.237,10.7774
Strips,middle,12,8.286,13.041
Strips,middle,13,8.13,11.0215
Strips,middle,14,8.423,14.1347
Strips,middle,15,8.497,13.5461
Strips,middle,16,8.315,11.7415
Strips,middle,17,8.325,11.4072
Strips,middle,18,8.304,11.2201
Strips,middle,19,8.307,12.9549
Strips,middle,20,8.362,11.2477
Strips,bottom,21,8.255,13.6026
Strips,bottom,22,8.48,13.5269
Strips,bottom,23,8.346,12.6746
Strips,bottom,24,8.414,12.0235
Strips,bottom,25,8.445,10.9196
Strips,bottom,26,8.197,13.901
Strips,bottom,27,8.314,
Strips,bottom,28,8.243,10.7944
Strips,bottom,29,8.182,11.4389
Strips,bottom,30,8.428,9.2823
Control,top,1,8.29,13.1403
Control,top,2,8.214,11.3631
Control,top,3,8.31,11.5688
Control,top,4,8.279,12.1197
Control,top,5,8.511,10.537
Control,top,6,8.465,11.1543
Control,top,7,8.477,13.6417
Control,top,8,8.305,15.0138
Control,top,9,8.266,10.8684
Control,top,10,8.283,10.498
Control,middle,11,8.241,11.4783
Control,middle,12,8.312,12.7099
Control,middle,13,8.237,12.2704
Control,middle,14,8.294,10.1102
Control,middle,15,8.273,10.5218
Control,middle,16,8.203,10.3999
Control,middle,17,8.329,9.7425
Control,middle,18,8.194,11.2956
Control,middle,19,8.577,16.927
Control,middle,20,8.403,11.7576
Control,bottom,21,8.309,12.975
Control,bottom,22,8.237,10.9766
Control,bottom,23,8.25,12.4183
Control,bottom,24,8.225,10.5589
Control,bottom,25,8.298,14.7349
Control,bottom,26,8.265,10.5817
Control,bottom,27,8.264,11.399
Control,bottom,28,8.371,13.6826
Control,bottom,29,8.199,11.687
Control,bottom,30,8.431,20.582
