Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.92,5.88
Strips,top,2,4.7,5.23
Strips,top,3,4.28,5.35
Strips,top,4,4.43,5.18
Strips,top,5,5.14,5.49
Strips,top,6,5.04,5.96
Strips,top,7,4.25,5.43
Strips,top,8,4.26,6.06
Strips,top,9,4.42,5.67
Strips,top,10,4.33,4.97
Strips,middle,11,4.21,6.54
Strips,middle,12,4.69,6.97
Strips,middle,13,4.87,5.71
Strips,middle,14,4.67,5.54
Strips,middle,15,4.99,8.35
Strips,middle,16,4.5,5.04
Strips,middle,17,4.27,4.78
Strips,middle,18,4.77,5.49
Strips,middle,19,4.44,6.9
Strips,middle,20,4.28,6.78
Strips,bottom,21,4.63,5.22
Strips,bottom,22,4.38,4.85
Strips,bottom,23,5.09,6.07
Strips,bottom,24,4.82,5.5
Strips,bottom,25,4.58,5.53
Strips,bottom,26,4.48,8.49
Strips,bottom,27,4.35,8.21
Strips,bottom,28,4.55,6.19
Strips,bottom,29,4.45,6.18
Strips,bottom,30,4.8,7.2
Control,top,1,4.79,5.49
Control,top,2,4.36,5.27
Control,top,3,4.67,5.79
Control,top,4,4.33,6.5
Control,top,5,4.44,5.42
Control,top,6,4.38,5.82
Control,top,7,4.38,5.42
Control,top,8,4.46,6.9
Control,top,9,4.98,5.25
Control,top,10,4.71,5.09
Control,middle,11,4.9,6.29
Control,middle,12,4.87,6
Control,middle,13,4.46,6.75
Control,middle,14,4.81,6.78
Control,middle,15,4.21,5.26
Control,middle,16,4.67,5.38
Control,middle,17,4.47,6.18
Control,middle,18,5.13,5.57
Control,middle,19,4.91,5.45
Control,middle,20,4.37,7.38
Control,bottom,21,4.64,5.57
Control,bottom,22,4.89,5.81
Control,bottom,23,4.48,5.31
Control,bottom,24,4.41,5.39
Control,bottom,25,4.96,6.89
Control,bottom,26,4.53,5.2
Control,bottom,27,5.13,8.48
Control,bottom,28,5.16,8.1
Control,bottom,29,4.38,5.96
Control,bottom,30,4.71,7.9
