Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.4272,51.8
Strips,top,2,8.4323,14.0404
Strips,top,3,8.5663,36.9245
Strips,top,4,8.4715,15.2846
Strips,top,5,8.5886,87.3
Strips,top,6,8.1544,20.015
Strips,top,7,8.1222,14.5774
Strips,top,8,8.4246,18.8479
Strips,top,9,8.4799,14.3251
Strips,top,10,8.4011,13.8686
Strips,middle,11,8.4066,37.8485
Strips,middle,12,8.2459,17.3023
Strips,middle,13,8.4565,29.2457
Strips,middle,14,8.2594,60.5
Strips,middle,15,8.2665,21.6107
Strips,middle,16,8.1825,28.052
Strips,middle,17,8.2856,16.3655
Strips,middle,18,8.4033,119.3
Strips,middle,19,8.3506,44.3629
Strips,middle,20,8.4965,42.3409
Strips,bottom,21,17.1,562.8
Strips,bottom,22,8.5008,430.2
Strips,bottom,23,8.4581,11.3379
Strips,bottom,24,8.6659,80.6
Strips,bottom,25,8.4986,16.8937
Strips,bottom,26,8.4731,133
Strips,bottom,27,8.2761,250.9
Strips,bottom,28,8.4094,26.4248
Strips,bottom,29,8.2558,20.3052
Strips,bottom,30,8.3068,20.2365
Control,top,1,8.212,143.3
Control,top,2,8.5374,124.5
Control,top,3,8.2041,26.7272
Control,top,4,8.1908,22.68
Control,top,5,8.2734,53
Control,top,6,17.1,222.4
Control,top,7,8.5443,126.9
Control,top,8,8.495,24.046
Control,top,9,8.4699,73.7
Control,top,10,8.5329,47.2234
Control,middle,11,8.4327,14.0965
Control,middle,12,8.2243,71.6
Control,middle,13,8.3647,82.7
Control,middle,14,8.6236,123.1
Control,middle,15,8.4889,27.0788
Control,middle,16,8.4434,26.6818
Control,middle,17,8.4067,18.2174
Control,middle,18,8.2873,29.2247
Control,middle,19,8.4658,96.6
Control,middle,20,8.2786,68.2
Control,bottom,21,8.6759,121.5
Control,bottom,22,17.1,31.5218
Control,bottom,23,8.3598,12.2998
Control,bottom,24,8.5213,168.9
Control,bottom,25,8.418,57.3
Control,bottom,26,8.1512,57
Control,bottom,27,8.2921,22.3641
Control,bottom,28,8.5642,61
Control,bottom,29,8.3116,20.4746
Control,bottom,30,8.497,25.6369
